id,uniform1,zeroes1,nulls1,new-normal1,uniform2,normal2,normal3,uniform3,catStr1,catStrSteady2,descStr1
3600,18,18,41,,33.262333687019435,338680,-156160,all-0.04552295768326298,classroom's darn disgracing squealer's emasculate,cents,skillet
3700,67,65,,,30.629274905354386,-770640,-138360,all-0.46860735517176466,rhetorician skills unicycle's overindulged staidly,humiliation's,February
3800,0,96,37,,3.292204771249967,671240,-265920,all-0.7363724678981131,vinaigrette's critter Dramamine spritz's ploughing,misjudgement's,insensitivity's
3900,1,5,,,13.148858387453707,-92280,443560,all-0.20527554594292508,Abrams's obsessing sledded esplanade's dashboards,quicksilver,millionth
4000,16,36,,,16.538276416977723,sometimes-618160,50400,all-0.38862834700658233,fiddlesticks Darlene's composing arming employe,statehood's,commingle
4100,56,38,76,,22.474797688106122,sometimes-30880,-666000,all-0.9583052177256687,thornier lump roughened Elul exactitude,astronautics's,fraud
4200,21,71,,,7.786298899875126,sometimes--51800,-323840,all-0.581330070392627,invisible garrulous scamps Johannesburg's plunderer's,humiliation's,above's
4300,81,28,86,,37.829373393387286,sometimes-67840,1095880,all-0.08479381807210062,vulgarism courteously cockpit creates sassy,elopes,above's
4400,7,11,,,5.967538691100436,-164280,991880,all-0.5838808436132853,apologist's Elaine's originates biathlons lasagna's,elopes,dovetails
4500,74,27,99,,33.88042502831248,sometimes--6080,-73960,all-0.2378499027863591,occupation's brilliants thimbleful mastication's earmuff's,perforated,commingle
4600,33,31,97,,14.353393523251125,sometimes--539560,-616640,all-0.7962844021437422,hazings Ghanians paralytic Buddy full's,cents,fraud
4700,60,70,,,33.36918774666866,sometimes--612520,-342240,all-0.6989502378901479,arrangement's Samson foxtrot's CPI paratrooper's,elopes,holsters
4800,66,35,73,,30.282589655276105,sometimes--105800,-160960,all-0.6348303888576468,architectural courtliness paraphrasing torsi perturbing,elopes,February
4900,27,55,,,9.725921931789273,-349840,810880,all-0.31533207521141415,arousal's practising Spackle timers bunkhouses,misjudgement's,holsters
5000,17,65,,,4.72473122543001,sometimes--85720,-182440,all-0.6155838985348185,pianissimos wait's fleshing smoking prevaricator's,statehood's,dovetails
5100,77,20,,,10.24930081147,sometimes--136760,473080,all-0.5767191350972141,unscrupulously starfish's teaspoonsful anklet Sassoon,quicksilver,holsters
5200,73,32,98,,16.014570254033288,sometimes--586480,473440,all-0.015166834689097741,Pericles's adjectivally pickle's decapitation sparkles,statehood's,commingle
5300,56,22,38,,16.072499692543616,sometimes-227840,-531640,all-0.3341549994537454,webisode's silverfish fronts streetwalkers linked,salaam's,insensitivity's
5400,72,87,7,,22.88250847696856,sometimes--221800,-245920,all-0.4305849971920013,skyline inconspicuousness surmised flying soothes,salaam's,above's
5500,48,42,38,,19.670013931069246,sometimes--520520,-130640,all-0.7227351787599069,Kronecker hasn't chinking snuggle Julian's,elopes,insensitivity's
5600,78,37,37,,12.914749959676662,sometimes--482480,554560,all-0.448920246423818,cellulose timberland's ironical jester's illustrations,misjudgement's,millionth
5700,71,4,,,31.33508052473092,-66120,-78240,all-0.8585521004378949,launderer's choristers biographers Rochester blatantly,salaam's,millionth
5800,59,25,,,18.429314758581164,sometimes-56240,-29520,all-0.6116767727680885,anorak's anonymous foreshadowing Elmo Juggernaut's,lamppost,February
5900,46,34,,,39.758787232452676,85920,336400,all-0.6610770607745904,earning prolixity jurisdiction resignedly mellowing,quicksilver,above's
6000,85,73,53,,29.32385349919986,sometimes--708880,541240,all-0.08672991751986125,shackles generosity axiom's cheerfuller serenades,cents,holsters
6100,19,22,,,11.867471943643991,sometimes-207120,455920,all-0.7837611118725978,trailblazer's sheave Chancellorsville's commiserated roadsides,elopes,skillet
6200,89,56,28,,12.175320534927984,374160,-493400,all-0.9488920023821908,Abrams's spinoff's boldly polyethylene's trivially,misjudgement's,commingle
6300,89,7,,,20.830743717301065,sometimes-52920,67600,all-0.4617799804374467,chiropractic's Hilda wining Novartis person's,perforated,womanhood's
6400,19,24,,,30.65026372123734,606960,-150640,all-0.249212770634196,conciseness's curs deadpanning Kalahari's antidote,misjudgement's,dovetails
6500,68,84,,,24.163068434052178,sometimes--381040,213520,all-0.006058758669666431,dairyman explicate thirteen indecision oldies,salaam's,millionth
6600,34,65,33,,32.878804794084594,-163480,-401600,all-0.2692964701909283,snobs Manuela lifesaver's countryside resource's,quicksilver,insensitivity's
6700,88,79,,,5.099758493227871,-104240,-55000,all-0.14353645787484515,accoutrements thiamin's contrasts untruthfully chore's,humiliation's,insensitivity's
6800,51,74,55,,5.218032955601606,sometimes-488280,38520,all-0.48014903747453885,Koch liquidity's practises Apocrypha's Irwin's,misjudgement's,womanhood's
6900,41,74,69,,14.640002599287518,sometimes--420600,313120,all-0.34508127398933697,Calderon precipice whatchamacallit's Bremen's protozoans,salaam's,above's
7000,84,68,,,39.82166385053517,sometimes--288080,626400,all-0.5933863916856619,Siemens's electrons coastlines unseat pastel's,elopes,insensitivity's
7100,77,37,57,,5.146995890376975,sometimes--570560,840,all-0.4070203163152224,Oscars Cambrian interleaving wraith Raffles,humiliation's,commingle
7200,13,26,98,,39.17305857320962,-257880,-27920,all-0.04863225984041797,mainsprings Proserpine's legalistic overabundant Irkutsk's,lamppost,fraud
7300,76,97,,,6.9880251413248695,542560,234920,all-0.4911468384171799,reliving hangar's Nikolai slumping tufting,quicksilver,skillet
7400,59,70,24,,12.233379251109291,sometimes--584720,-251320,all-0.6160197756062521,abeam sheerer dreads Thoroughbred toddle's,statehood's,dovetails
7500,77,40,,,15.883205110080727,sometimes-296680,-164480,all-0.540165167192965,snakebite Palmolive's chivalry's superfluous catchup's,cents,womanhood's
7600,35,37,,,6.866377956817318,-152840,-269960,all-0.9267986805674725,Swazi hovering cyclotron separatism's mothering,cents,holsters
7700,88,82,,,23.690622352029603,sometimes--708920,-821320,all-0.8627915947099879,Imus funny shirker chloroform's Good,quicksilver,fraud
7800,96,50,,,7.2302794828679495,sometimes--12040,278280,all-0.01796509882894226,crucibles gregariousness's tinseled preponderance's manifestly,elopes,dovetails
7900,39,30,70,,13.175285926504214,936640,-133360,all-0.06874936157142797,sleets Bright scenario Speer lacked,elopes,fraud
8000,59,70,54,,6.496479882355253,-109400,79760,all-0.7199536514130692,promos finalized pinheads Deltona's nasalizes,astronautics's,insensitivity's
8100,31,52,,,0.8196545225358998,25040,-105440,all-0.08983893394642439,Wolfgang's kindergartener Barbour coins variable's,quicksilver,commingle
8200,6,46,86,,4.085400560520505,sometimes--181960,-527120,all-0.560863837969372,ECMAScript computer pondering towing gilts,perforated,skillet
8300,67,4,23,,17.97600195024421,sometimes-393960,-183760,all-0.46302486213320104,contractually midpoints unmask revitalization's residue,astronautics's,commingle
8400,68,87,,,0.5084622854041632,sometimes-236240,-253960,all-0.39864392768089385,cantaloupe's majoring redistributes Alden's mimicry's,statehood's,millionth
8500,7,12,84,,0.24395645147619494,-160240,434040,all-0.5575875888025652,Kathleen interacted overexposes Lambert's recycling's,statehood's,skillet
8600,50,66,81,,39.42565020362046,sometimes-329640,-369280,all-0.6647567621181363,Oahu's episodic commonplace's spermicides entrust,statehood's,fraud
8700,57,10,,,24.0855081321364,sometimes-337120,-64760,all-0.5974010706493131,flavorful statesman's supplied extended cross,salaam's,commingle
8800,90,51,0,,7.190779406978778,sometimes-40400,403920,all-0.30223100706857475,mayday's conflicting hid callers EEG's,salaam's,above's
8900,97,45,,,34.80284442373709,sometimes-411040,274560,all-0.8113028655033659,stable Zimbabwe contender's instruction swastika,lamppost,skillet
9000,58,76,,,6.010837615145337,454400,-395680,all-0.8723368068187405,lamentations Naziisms discomposure's Reggie typesetter's,elopes,holsters
9100,5,25,53,,27.193493519935934,sometimes-631080,-21000,all-0.44339586379143914,trout's nitpick milkshake larder misdeeds,statehood's,commingle
9200,80,75,,,20.464062627774805,sometimes--154120,-63240,all-0.13362399109253953,abstaining jocular flushing yeshivot geometrical,perforated,insensitivity's
9300,15,4,32,,13.073173620447506,-421880,-128440,all-0.7564893342094207,staple's Benedict's semiautomatic's priestly discerning,quicksilver,womanhood's
9400,51,71,,,16.51837253924503,812080,540400,all-0.3546860701770619,practicalities impanel dumpiest fruitless Bogart,elopes,commingle
9500,74,7,,,39.523854410611406,sometimes--300240,-71040,all-0.5302167684811321,renal ponytails boos Baghdad's lemons,quicksilver,insensitivity's
9600,10,85,94,,19.95947218032235,-110440,-174960,all-0.19728239788873214,banality prototyping gangrenous crabby More's,quicksilver,millionth
9700,86,83,,,7.56032667900103,336840,32680,all-0.9144412131204278,twilight picnickers toyed decriminalizing amalgams,statehood's,insensitivity's
9800,71,5,,,3.582648494087506,351720,265800,all-0.12272684304400905,overview uninstalling singularity's livestock Zuni,astronautics's,above's
9900,65,19,,,32.12586908736442,sometimes-512280,412280,all-0.6831608673703123,hems lowered swimsuit's Elasticsearch perpetuation,astronautics's,insensitivity's
10000,40,7,,,21.232596216031034,sometimes-25720,-426400,all-0.6192115071789565,acquiesces picturesque carefulness Hormuz dismiss,lamppost,womanhood's
10100,81,32,45,,29.53818793674607,-855640,-7840,all-0.9019547982455456,Venusian codgers analgesia proofreader's foaming,astronautics's,millionth
10200,56,9,,,39.285441750082896,sometimes--213200,6840,all-0.29480842709782273,imprecation facilitation's wallowing presenter blest,astronautics's,fraud
10300,26,38,,,15.22369741062386,-386240,-1033520,all-0.5666422075349296,pock hoses lollygags licentiously Luria,perforated,skillet
10400,87,42,,,19.388785905558287,-440840,308760,all-0.76137443370251,masticated gen gondola's incompatibles confidently,salaam's,skillet
10500,27,20,,,26.652707808907085,sometimes-49360,-894480,all-0.9130082886763855,Stamford antiquary methodical frigates shadowboxes,quicksilver,holsters
10600,0,84,39,,1.8810699821407972,-527120,174040,all-0.3411288421713017,retook fascination disengagement's Formosan Victorville's,perforated,skillet
10700,33,25,47,,9.535634720304573,-750840,300280,all-0.41890394917359186,meditation's convinces okaying muttering naughtiness's,salaam's,February
10800,64,34,,,35.03348550957271,199240,128840,all-0.1293052754803411,gratification's foraying parallelogram abatement Johanna's,salaam's,fraud
10900,28,48,,,29.206382172432107,sometimes--58760,347560,all-0.6746916043195269,napes Pilgrim Crater brooms epistolary,perforated,fraud
11000,23,75,87,,13.54242205465817,1081720,-237080,all-0.3661239587766575,required retardant's earaches butchery's Cisco,perforated,February
11100,84,13,32,,17.44560415972664,-229280,-417520,all-0.43756506560503616,suffocation orchestration configured Ebola's stenographer,perforated,womanhood's
11200,36,69,13,,22.59928262813323,32520,-189600,all-0.14437778481716235,rime rheumatic's Zachariah's dissonance herb's,misjudgement's,commingle
11300,12,69,87,,30.65124417677046,-106600,-49720,all-0.4957125233474401,transshipment's Reagan's flamingos ballasts edifices,humiliation's,holsters
11400,12,31,,,37.055271886710216,sometimes-142840,-620240,all-0.6475719574300841,Saddam's conformance Hitlers poisoners randomly,statehood's,above's
11500,53,74,,,26.289471051364103,58120,999640,all-0.53614159380418,volleys remissness's peppiest breast cutlass's,salaam's,dovetails
11600,1,6,,,35.39119475948262,sometimes-165920,-240480,all-0.5679325522502552,ghoul spellbinder's tendering ECMAScript's borsch's,salaam's,insensitivity's
11700,7,68,33,,39.24195598029447,-73240,295800,all-0.12152495786534168,protractor's bisexual's editorialized sprigs heartbroken,astronautics's,above's
11800,53,45,47,,4.254907643866619,sometimes--429840,-553960,all-0.9872186071365142,Eu Ramos's raspberry's installs technically,quicksilver,above's
11900,53,22,3,,17.87379352270378,sometimes--179360,20160,all-0.033297163074481384,bamboozled Palau's skips nozzle prolonged,elopes,above's
12000,47,41,12,,34.85045505964261,sometimes--648320,291240,all-0.9065108879757832,Alvarez accounting misanthrope immunization transgressors,lamppost,skillet
12100,56,7,67,,2.3145801108029307,sometimes-486040,158320,all-0.0619535073230667,protozoon's consumers spherical institutions remortgaging,humiliation's,insensitivity's
12200,35,97,60,,33.07780829040215,sometimes-18880,468720,all-0.38504954483229015,bobbin's handiness drone compressing internationalize,lamppost,womanhood's
12300,85,33,80,,39.79579257293126,986760,642120,all-0.14519971827831235,suspending jurisdiction mistrusted absolutely straitjacket's,perforated,insensitivity's
12400,99,56,,,24.413904952551274,-105480,198640,all-0.901796778414621,soulmate valence mishap's rehash's switchback's,perforated,fraud
12500,21,68,23,,33.72667935141995,-317880,624320,all-0.7138615348545359,Iowan's event Dodoma's momentous tunnels,quicksilver,fraud
12600,45,25,77,,22.361579975260085,88480,-871160,all-0.37935390485289555,agape maxilla's whitewashed coroner's transmute,astronautics's,fraud
12700,31,34,,,32.0119885851303,589680,221040,all-0.40154527328792244,innovation's dogfish coped pickles response,elopes,insensitivity's
12800,14,67,,,12.881624365023754,sometimes--190960,-202280,all-0.4364766897614928,megacycle dram's invocation retrospected hyperspaces,cents,holsters
12900,32,28,,,39.99289865453876,sometimes--27520,-229160,all-0.7868469966290047,Mont palpated ethically verandah titmice,astronautics's,womanhood's
13000,3,27,70,,18.604640243537666,-396800,-901880,all-0.4813421997276889,goalkeepers cybersex wight's costing spited,cents,holsters
13100,59,51,87,,18.501509116099335,sometimes--38600,-153240,all-0.1456039710985455,Xmas's outright frustrations indignantly Diocletian,misjudgement's,holsters
13200,94,90,48,,19.255617053430235,1000,18520,all-0.6996994090557206,Bridgman's granulating inconclusively conga's predictable,salaam's,womanhood's
13300,61,70,55,,29.063400362713857,sometimes--327160,-356000,all-0.5922590328857691,industries Reuters Jeffersonian spangles Grünewald's,statehood's,February
13400,98,89,12,,32.4899645459554,sometimes-285600,-169760,all-0.6563320702691566,pavilions accelerations queer skimpiest deliminator,elopes,fraud
13500,73,61,78,,11.77335519549052,sometimes-564360,322640,all-0.31158750162541604,Jeanine hesitancy dioramas disrespect huskiness's,quicksilver,womanhood's
13600,3,23,77,,31.0648068388383,sometimes-176640,504360,all-0.2927233551291969,centiliters serviceable Rolvaag peeked shriek's,salaam's,womanhood's
13700,62,54,47,,15.181228704924585,sometimes-21680,-136680,all-0.5524680268876359,endeavor's columbine's troughs deductive ampules,misjudgement's,dovetails
13800,36,2,,,9.829393753935328,sometimes--195760,-475200,all-0.6498127719108718,entices preconception's trended suffragette congestion's,misjudgement's,February
13900,34,67,,,18.75770587754625,sometimes--164400,47680,all-0.8220331874723158,terrorizes provisionally addressee rhythmical hikers,cents,fraud
14000,58,29,23,,26.034579832526823,sometimes--242360,586600,all-0.6062099395346622,recoups forearming distils snatch's seasoning's,misjudgement's,holsters
14100,98,66,82,,26.608425371161545,sometimes--161640,396160,all-0.3290612983049568,malfunction ions varnishing cesspool accessibility,elopes,commingle
14200,39,62,,,10.396846511331184,-448920,171640,all-0.5913716244746315,anemia crosswords communicant ascendancy sulphur's,salaam's,February
14300,14,32,92,,17.097056285018517,sometimes--364560,648240,all-0.0790248560390937,maximize panderer undesirable hydroponics's mobile,salaam's,millionth
14400,53,67,,,12.456370374268385,-242040,695400,all-0.45972228648852753,bronzing bound's underscored fractious bandstands,cents,insensitivity's
14500,22,42,,,22.07965989131114,133640,23240,all-0.617405775919939,Slocum's redistributing GnuPG vicissitude's bigamy's,quicksilver,dovetails
14600,54,32,79,,10.062437995364126,-257800,-446000,all-0.4752761050768981,wrenches hexagon Leavenworth's opalescent Bugatti's,cents,commingle
14700,21,97,50,,1.5635922236734556,sometimes--30840,-602440,all-0.8667990000857674,accelerator Hammerstein thousandths Crockett's goading,salaam's,holsters
14800,64,75,62,,31.776110340633235,3960,-501480,all-0.25758093346564637,wonky rainbow's confrontation inclosure hundreds,elopes,millionth
14900,62,37,,,31.101148404051134,sometimes--24560,73800,all-0.16289419147536044,essences internationalizes wino whitecap's dampers,astronautics's,womanhood's
15000,97,82,,,39.24899532252388,-302840,-111440,all-0.6027286443874726,midwinter's sereneness ludicrous disengages imprint's,perforated,dovetails
15100,57,38,,,17.0754049198076,sometimes-140000,480360,all-0.07596677364514803,colic Houston's rioting exhibit's quip,astronautics's,February
15200,26,74,,,29.61619303598292,-457040,-154600,all-0.9250381152369714,landwards humdingers retained Gage belching,lamppost,above's
15300,13,35,,,32.00454992642491,sometimes-600120,161600,all-0.23294349374017786,nutritionist's stupidly Basho jester's hen,statehood's,commingle
15400,0,94,,,7.974683755918726,sometimes-601160,16880,all-0.19470614619160842,demerits spellcheckers yammered infelicities exemption,salaam's,millionth
15500,27,82,,,24.810074035080643,sometimes-325720,-208360,all-0.9447064253562995,queer householders outright straightforward workarounds,misjudgement's,fraud
15600,53,83,,,11.737991911046102,sometimes--70840,-40480,all-0.8735665123208721,thirteenths Americanization's clove's boredom's unrelenting,astronautics's,February
15700,85,40,,,11.425486640535585,-262920,419920,all-0.6247518063797958,debilities marbling addressing timidity's Okeechobee's,lamppost,holsters
15800,16,6,,,9.415581429528324,-957240,563120,all-0.6964724682941384,Heidegger compasses toupees helpline regime's,humiliation's,womanhood's
15900,98,76,76,,9.228882583316977,-391360,-58800,all-0.8439779182143651,Loire's overjoying boas pixel persons,quicksilver,commingle
16000,66,32,,,25.757520519340034,sometimes-80800,293240,all-0.307987116471245,Malay's drawling Hahn curer sacerdotal,salaam's,commingle
16100,50,32,21,,23.452596086580662,sometimes--249160,360760,all-0.12549455282191035,foremasts apocalypse splatted skivvied reappraised,salaam's,commingle
16200,43,90,70,,28.649230233248705,sometimes-158240,717120,all-0.8042992210157366,whisk callers incurring manly tourmaline's,misjudgement's,commingle
16300,69,85,34,,6.824091011223463,sometimes--131760,-421840,all-0.06975482971592217,biodegradable hinged Simpsons's edible waterside's,astronautics's,skillet
16400,90,11,,,17.343496076740056,sometimes-449520,696160,all-0.6441638310179331,crouches escort coffees apprenticeships dependence's,lamppost,womanhood's
16500,28,26,31,,25.496142120097876,sometimes-660480,-369240,all-0.6302748029050816,jack's obstructionist Ito sustain craves,elopes,holsters
16600,96,99,52,,4.634958656232433,sometimes--100040,364080,all-0.28942520178442555,weans darn acting emancipation's interferon,misjudgement's,fraud
16700,23,40,,,28.65114494757627,847200,-518240,all-0.7912697420009283,unhealthier elevators finis alloyed love,elopes,February
16800,12,64,6,,6.70965825296491,555320,1280,all-0.9595100547358454,fossilization's Greenspan Kitakyushu's clubfeet Ezra,cents,fraud
16900,86,35,,,29.190706295494874,-1160200,-32600,all-0.41647511923205405,rascally adage's evanescent encapsulation's watermelon's,lamppost,insensitivity's
17000,89,80,54,,34.37322110069397,615360,144680,all-0.5002009940077579,distinction whooshing rentals gambles circularity's,lamppost,skillet
17100,83,52,68,,26.72464317680738,sometimes--593040,132000,all-0.2299013659072383,doorknob's bellhops unobserved Dortmund's Lacy's,salaam's,insensitivity's
17200,4,3,,,33.37288571637028,sometimes-258360,433000,all-0.9054642007750638,Soho geneticist's Silurian's shone bleakness,elopes,February
17300,11,72,68,,1.5040546892033868,217920,-323880,all-0.7078331737316805,swelter's shillelaghs eyetooth's Sontag gynecologists,humiliation's,above's
17400,21,83,,,9.639400235442617,sometimes-285880,-229360,all-0.5693833723906514,bloomers panhandlers ditty's seesawing sweeper,perforated,holsters
17500,32,96,22,,29.587035001303,sometimes--302800,-498800,all-0.9919962216405371,wiseacres pilau Evans elixir's Campanella,salaam's,February
17600,60,50,69,,33.8126172246527,594960,337400,all-0.05631685585289392,development reran collarbone's Jenner tightening,elopes,commingle
17700,41,10,41,,1.9337488280917192,-327640,-114440,all-0.28384319408313363,bombs Pilates evicting deciphering whodunnits,cents,millionth
17800,80,25,,,33.05444052419546,-30000,-144280,all-0.3054685028558649,blackberry's appeal transcriptions humping hysterectomy,astronautics's,millionth
17900,32,21,,,11.676608983049658,-303280,2960,all-0.6140671198320701,individuals redistricting crackled Lancashire's return's,salaam's,holsters
18000,4,77,,,0.6158841541681426,sometimes-84520,-92320,all-0.2071208237402783,Hitchcock modelling sillies hobble's hornpipe,astronautics's,millionth
18100,28,58,,,27.001922774944877,sometimes--198040,93200,all-0.28543067355876806,foam's pharmacopeias surrealists Imodium's sim,lamppost,womanhood's
18200,60,7,,,2.8555849204743167,sometimes--65040,-20720,all-0.2717184317242255,commodores Madelyn's handiness's choruses dilettantism's,quicksilver,holsters
18300,50,99,35,,32.179578097726576,sometimes-12080,-134120,all-0.6672088252662288,conscription's boozing caliber placebo Yakima,lamppost,fraud
18400,81,49,,,30.095296060445087,219080,112840,all-0.642762366466779,Maugham commented crisper sinful curable,salaam's,above's
18500,57,2,,,6.763916649430279,sometimes--223640,122160,all-0.676396803330899,docudramas optometry Darla moveable's recessives,salaam's,holsters
18600,95,49,85,,26.295212774249322,55680,22400,all-0.8804933472424132,cyst's expenditure moment's maximum's disgruntled,misjudgement's,dovetails
18700,45,49,,,27.34093990739762,-316120,-685280,all-0.06987602213986077,brainchild topical Bobbitt Argonaut's pickpockets,lamppost,February
18800,5,77,99,,0.44206351758493856,-65440,215880,all-0.8856235685416243,UnicodeIsFun congratulatory scions backstory pipsqueak's,quicksilver,commingle
18900,90,14,,,1.284308852709941,-95200,-245640,all-0.06089397766294935,snowplowed shapeliness KIA kid fledglings,perforated,above's
